ID,habitats,labels,classes,frames
7117/empty/7117_no_fish_2_f000000,7117,0,empty,7117_no_fish_2_f000000
7117/empty/7117_no_fish_2_f000001,7117,0,empty,7117_no_fish_2_f000001
7117/empty/7117_no_fish_2_f000002,7117,0,empty,7117_no_fish_2_f000002
7117/empty/7117_no_fish_2_f000003,7117,0,empty,7117_no_fish_2_f000003
7117/empty/7117_no_fish_2_f000004,7117,0,empty,7117_no_fish_2_f000004
7117/empty/7117_no_fish_2_f000005,7117,0,empty,7117_no_fish_2_f000005
7117/empty/7117_no_fish_2_f000006,7117,0,empty,7117_no_fish_2_f000006
7117/empty/7117_no_fish_2_f000007,7117,0,empty,7117_no_fish_2_f000007
7117/empty/7117_no_fish_2_f000008,7117,0,empty,7117_no_fish_2_f000008
7117/empty/7117_no_fish_2_f000009,7117,0,empty,7117_no_fish_2_f000009
7117/empty/7117_no_fish_2_f000010,7117,0,empty,7117_no_fish_2_f000010
7117/empty/7117_no_fish_2_f000011,7117,0,empty,7117_no_fish_2_f000011
7117/empty/7117_no_fish_2_f000012,7117,0,empty,7117_no_fish_2_f000012
7117/empty/7117_no_fish_2_f000013,7117,0,empty,7117_no_fish_2_f000013
7117/empty/7117_no_fish_2_f000014,7117,0,empty,7117_no_fish_2_f000014
7117/empty/7117_no_fish_2_f000015,7117,0,empty,7117_no_fish_2_f000015
7117/empty/7117_no_fish_2_f000016,7117,0,empty,7117_no_fish_2_f000016
7117/empty/7117_no_fish_2_f000017,7117,0,empty,7117_no_fish_2_f000017
7117/empty/7117_no_fish_2_f000018,7117,0,empty,7117_no_fish_2_f000018
7117/empty/7117_no_fish_2_f000019,7117,0,empty,7117_no_fish_2_f000019
7117/empty/7117_no_fish_2_f000020,7117,0,empty,7117_no_fish_2_f000020
7117/empty/7117_no_fish_2_f000021,7117,0,empty,7117_no_fish_2_f000021
7117/empty/7117_no_fish_2_f000022,7117,0,empty,7117_no_fish_2_f000022
7117/empty/7117_no_fish_2_f000023,7117,0,empty,7117_no_fish_2_f000023
7117/empty/7117_no_fish_2_f000024,7117,0,empty,7117_no_fish_2_f000024
7117/empty/7117_no_fish_2_f000025,7117,0,empty,7117_no_fish_2_f000025
