ID,counts,habitats,labels,classes,frames
empty/7117_no_fish_2_f000000,0,7117,0,empty,7117_no_fish_2_f000000
empty/7117_no_fish_2_f000010,0,7117,0,empty,7117_no_fish_2_f000010
empty/7117_no_fish_2_f000020,0,7117,0,empty,7117_no_fish_2_f000020
empty/7117_no_fish_2_f000030,0,7117,0,empty,7117_no_fish_2_f000030
empty/7117_no_fish_2_f000040,0,7117,0,empty,7117_no_fish_2_f000040
empty/7117_no_fish_2_f000050,0,7117,0,empty,7117_no_fish_2_f000050
empty/7117_no_fish_2_f000060,0,7117,0,empty,7117_no_fish_2_f000060
empty/7117_no_fish_2_f000070,0,7117,0,empty,7117_no_fish_2_f000070
empty/7117_no_fish_2_f000080,0,7117,0,empty,7117_no_fish_2_f000080
empty/7393_NF2_f000000,0,7393,0,empty,7393_NF2_f000000
empty/7393_NF2_f000010,0,7393,0,empty,7393_NF2_f000010
empty/7393_NF2_f000020,0,7393,0,empty,7393_NF2_f000020
empty/7393_NF2_f000030,0,7393,0,empty,7393_NF2_f000030
empty/7393_NF2_f000040,0,7393,0,empty,7393_NF2_f000040
empty/7393_NF2_f000050,0,7393,0,empty,7393_NF2_f000050
empty/7393_NF2_f000060,0,7393,0,empty,7393_NF2_f000060
empty/7393_NF2_f000070,0,7393,0,empty,7393_NF2_f000070
empty/7393_NF2_f000080,0,7393,0,empty,7393_NF2_f000080
empty/7393_NF2_f000090,0,7393,0,empty,7393_NF2_f000090
empty/7393_NF2_f000270,0,7393,0,empty,7393_NF2_f000270
empty/7393_NF2_f000280,0,7393,0,empty,7393_NF2_f000280
empty/7393_NF2_f000290,0,7393,0,empty,7393_NF2_f000290
empty/7393_NF2_f000300,0,7393,0,empty,7393_NF2_f000300
empty/7393_NF2_f000310,0,7393,0,empty,7393_NF2_f000310
empty/7393_NF2_f000320,0,7393,0,empty,7393_NF2_f000320
empty/7393_NF2_f000330,0,7393,0,empty,7393_NF2_f000330
empty/7393_NF2_f000340,0,7393,0,empty,7393_NF2_f000340
empty/7393_NF2_f000350,0,7393,0,empty,7393_NF2_f000350
empty/7393_NF2_f000360,0,7393,0,empty,7393_NF2_f000360
empty/7393_NF2_f000370,0,7393,0,empty,7393_NF2_f000370
empty/7393_NF2_f000380,0,7393,0,empty,7393_NF2_f000380
empty/7393_NF2_f000390,0,7393,0,empty,7393_NF2_f000390
empty/7393_NF2_f000400,0,7393,0,empty,7393_NF2_f000400
empty/7393_NF2_f000410,0,7393,0,empty,7393_NF2_f000410
empty/7393_NF2_f000420,0,7393,0,empty,7393_NF2_f000420
empty/7393_NF2_f001080,0,7393,0,empty,7393_NF2_f001080
empty/7393_NF2_f001090,0,7393,0,empty,7393_NF2_f001090
empty/7393_NF2_f001100,0,7393,0,empty,7393_NF2_f001100
empty/7393_NF2_f001110,0,7393,0,empty,7393_NF2_f001110
empty/7393_NF2_f001120,0,7393,0,empty,7393_NF2_f001120
empty/7393_NF2_f001130,0,7393,0,empty,7393_NF2_f001130
empty/7393_NF2_f001140,0,7393,0,empty,7393_NF2_f001140
